geneID M6_C M6_C M6_C M6_F M6_F M6_F
Dgal_TRINITY.DN10155.c0.g1.i1 0 10 12 54 10 36
Dgal_TRINITY.DN10156.c0.g1.i1 142 338 452 410 250 326
Dgal_TRINITY.DN10157.c0.g1.i1 2516 2544 2414 2430 2578 2988
Dgal_TRINITY.DN10158.c0.g1.i1 286 370 380 586 360 444
Dgal_TRINITY.DN10159.c0.g1.i2 6368 6220 5420 5926 6478 7476
Dgal_TRINITY.DN10159.c1.g1.i1 6118 6272 6390 6216 6662 8452
Dgal_TRINITY.DN1015.c0.g2.i1 2 4 0 2 2 0
Dgal_TRINITY.DN10160.c0.g1.i1 248 228 228 230 232 306
Dgal_TRINITY.DN10161.c0.g1.i1 2950 3374 3218 3318 3234 3602
Dgal_TRINITY.DN10162.c0.g2.i2 88 54 90 46 60 140
Dgal_TRINITY.DN10163.c0.g1.i1 224 182 294 268 326 380
Dgal_TRINITY.DN10164.c0.g1.i1 472 654 502 502 488 462
Dgal_TRINITY.DN10165.c0.g1.i1 34 24 26 42 30 22
Dgal_TRINITY.DN10166.c0.g1.i1 18 36 22 34 24 16
Dgal_TRINITY.DN10166.c0.g1.i2 58 44 42 68 56 80
Dgal_TRINITY.DN10166.c0.g1.i3 40 40 30 20 48 48
Dgal_TRINITY.DN10167.c0.g1.i1 2482 1904 2346 1920 2290 3078
Dgal_TRINITY.DN10168.c0.g1.i1 16 18 12 16 10 10
Dgal_TRINITY.DN10169.c0.g1.i1 1656 1936 1834 1820 2046 2310
Dgal_TRINITY.DN1016.c0.g1.i1 10 14 14 16 6 6
Dgal_TRINITY.DN10170.c0.g1.i1 4472 4502 4440 4402 4670 5630
Dgal_TRINITY.DN10172.c0.g1.i3 1610 1608 1670 1620 1622 2074
Dgal_TRINITY.DN10173.c0.g1.i1 86 64 90 104 84 96
Dgal_TRINITY.DN10173.c0.g2.i1 24 30 32 24 24 46
Dgal_TRINITY.DN10174.c0.g1.i3 2234 2068 2170 2126 2192 2674
Dgal_TRINITY.DN10175.c0.g1.i1 142 148 154 134 154 224
Dgal_TRINITY.DN10176.c0.g1.i1 0 0 2 2 0 0
Dgal_TRINITY.DN10176.c0.g1.i2 0 0 0 0 4 0
Dgal_TRINITY.DN10176.c0.g2.i1 0 0 0 0 2 0
Dgal_TRINITY.DN10176.c0.g3.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10177.c0.g1.i9 8 6 38 8 26 18
Dgal_TRINITY.DN10178.c0.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10178.c0.g1.i2 0 2 0 0 4 2
Dgal_TRINITY.DN10178.c0.g1.i3 0 0 0 2 0 0
Dgal_TRINITY.DN10178.c0.g1.i4 0 0 0 0 0 0
Dgal_TRINITY.DN10179.c0.g1.i1 1004 1190 1146 1098 1108 1390
Dgal_TRINITY.DN1017.c0.g1.i1 20 28 30 24 24 24
Dgal_TRINITY.DN10180.c0.g1.i1 3998 5570 4538 4398 4024 4774
Dgal_TRINITY.DN10180.c0.g1.i2 1328 1798 1810 1616 1420 1770
Dgal_TRINITY.DN10180.c1.g1.i1 160 114 152 142 74 102
Dgal_TRINITY.DN10181.c0.g1.i1 36 52 22 26 46 36
Dgal_TRINITY.DN10182.c0.g1.i1 948 862 926 902 1058 1124
Dgal_TRINITY.DN10183.c0.g1.i1 12 34 38 10 20 14
Dgal_TRINITY.DN10183.c0.g1.i2 8 28 20 28 38 20
Dgal_TRINITY.DN10184.c0.g2.i1 960 964 1012 1106 1236 1554
Dgal_TRINITY.DN10185.c0.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10185.c0.g2.i2 0 2 4 12 2 6
Dgal_TRINITY.DN10185.c0.g2.i3 2 6 8 0 2 6
Dgal_TRINITY.DN10186.c0.g1.i1 310 476 480 456 420 454
Dgal_TRINITY.DN10187.c0.g1.i1 105710 112640 112640 115066 114736 137542
Dgal_TRINITY.DN10188.c0.g1.i2 468 420 430 404 436 598
Dgal_TRINITY.DN10188.c0.g1.i3 14 22 28 26 30 40
Dgal_TRINITY.DN10188.c0.g1.i5 4 8 4 2 6 4
Dgal_TRINITY.DN10188.c0.g2.i1 816 676 758 706 848 1056
Dgal_TRINITY.DN10189.c0.g1.i1 98 132 76 78 88 126
Dgal_TRINITY.DN1018.c0.g1.i1 0 4 2 0 0 2
Dgal_TRINITY.DN1018.c0.g2.i1 10 34 4 4 8 8
Dgal_TRINITY.DN10190.c0.g1.i1 232 256 414 46 132 34
Dgal_TRINITY.DN10191.c1.g2.i1 62 52 62 38 76 74
Dgal_TRINITY.DN10192.c0.g1.i3 254 346 430 278 604 422
Dgal_TRINITY.DN10192.c0.g2.i1 224 402 566 418 772 434
Dgal_TRINITY.DN10193.c0.g1.i3 16 16 16 20 4 6
Dgal_TRINITY.DN10193.c0.g1.i5 18 6 14 18 26 12
Dgal_TRINITY.DN10193.c0.g1.i7 14 30 18 20 24 20
Dgal_TRINITY.DN10194.c0.g1.i1 170 100 116 116 188 184
Dgal_TRINITY.DN10195.c0.g1.i2 74 52 50 82 58 56
Dgal_TRINITY.DN10195.c0.g1.i3 30 58 28 64 48 48
Dgal_TRINITY.DN10196.c0.g1.i1 8 14 12 8 10 12
Dgal_TRINITY.DN10197.c0.g2.i1 562 590 556 572 620 710
Dgal_TRINITY.DN10198.c0.g1.i1 106 168 158 126 118 158
Dgal_TRINITY.DN10199.c0.g1.i1 3878 3410 3792 3796 4404 5294
Dgal_TRINITY.DN1019.c0.g2.i1 428 450 526 594 512 592
Dgal_TRINITY.DN101.c0.g1.i1 26 18 8 12 8 8
Dgal_TRINITY.DN10200.c0.g1.i1 76 96 90 118 138 148
Dgal_TRINITY.DN10200.c0.g1.i2 10 8 26 24 40 20
Dgal_TRINITY.DN10201.c0.g1.i1 28 24 16 12 28 44
Dgal_TRINITY.DN10201.c0.g1.i2 108 166 96 114 110 172
Dgal_TRINITY.DN10202.c0.g1.i1 3904 4888 4388 4230 4268 4816
Dgal_TRINITY.DN10203.c0.g1.i1 46 90 70 90 64 82
Dgal_TRINITY.DN10204.c0.g1.i1 3694 3968 3670 3996 3788 4536
Dgal_TRINITY.DN10205.c0.g1.i1 84 106 96 86 84 102
Dgal_TRINITY.DN10205.c1.g1.i1 152 168 158 158 134 188
Dgal_TRINITY.DN10206.c0.g1.i1 278 326 380 306 326 358
Dgal_TRINITY.DN10207.c0.g1.i2 176 244 222 222 178 262
Dgal_TRINITY.DN10208.c0.g1.i1 696 820 778 782 706 894
Dgal_TRINITY.DN10209.c0.g1.i2 94 82 86 80 106 104
Dgal_TRINITY.DN1020.c0.g1.i1 2 2 4 0 2 0
Dgal_TRINITY.DN1020.c0.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10210.c0.g1.i2 2182 2282 2384 2402 2388 2886
Dgal_TRINITY.DN10211.c0.g1.i1 22 20 30 28 26 18
Dgal_TRINITY.DN10211.c0.g2.i1 22 6 6 4 0 2
Dgal_TRINITY.DN10211.c1.g1.i1 294 326 284 266 306 352
Dgal_TRINITY.DN10212.c0.g1.i1 1154 2650 2856 2222 1074 1118
Dgal_TRINITY.DN10213.c0.g1.i1 176 250 282 216 198 194
Dgal_TRINITY.DN10214.c0.g1.i1 2 10 6 4 14 12
Dgal_TRINITY.DN10214.c0.g2.i1 54 68 78 60 52 82
Dgal_TRINITY.DN10214.c0.g2.i2 4 4 0 4 0 4
Dgal_TRINITY.DN10214.c0.g2.i3 10 4 2 0 4 0
Dgal_TRINITY.DN10214.c0.g2.i5 0 0 0 0 2 0
Dgal_TRINITY.DN10215.c0.g1.i1 92 136 120 76 104 130
Dgal_TRINITY.DN10216.c0.g1.i1 16074 22166 19314 18876 17844 20508
Dgal_TRINITY.DN10217.c0.g1.i1 4 2 2 0 2 0
Dgal_TRINITY.DN10217.c0.g1.i2 0 12 8 72 6 0
Dgal_TRINITY.DN10218.c0.g1.i1 52 34 28 24 32 38
Dgal_TRINITY.DN10218.c1.g1.i1 216 260 240 228 240 294
Dgal_TRINITY.DN10219.c0.g1.i1 52 50 30 34 48 46
Dgal_TRINITY.DN1021.c0.g1.i1 90 124 76 94 116 126
Dgal_TRINITY.DN1021.c0.g2.i1 402 478 348 438 460 500
Dgal_TRINITY.DN10220.c0.g1.i1 38 28 38 28 22 32
Dgal_TRINITY.DN10220.c0.g1.i2 42 62 56 80 52 66
Dgal_TRINITY.DN10220.c0.g1.i3 0 0 0 0 0 0
Dgal_TRINITY.DN10221.c0.g1.i1 2176 1980 2078 2316 2298 2614
